ItemId,ReceiptId,ProductCategory,C02Impact,Price,QrCode
215,5,Hryniewicz,88.44,20.22,16
216,50,Polkinghorne,17.24,19.43,6
217,17,De Laci,6.89,81.69,52
218,3,Stennard,60.64,73.64,53
219,54,Canellas,47.3,28.84,3
220,40,Dubique,46.85,59.85,68
221,57,Rosentholer,48.1,75.84,20
222,75,Carus,88.71,52.73,15
223,49,Beament,59.33,34.2,46
224,76,Cheake,96.47,61.63,60
225,20,Dowson,71.88,56.28,96
226,13,Blackstone,92.09,70.12,23
227,45,Irdale,86.69,42.59,37
228,51,Codner,5.62,88.04,46
229,27,Mc-Kerley,94.68,43.16,18
230,95,Pinckney,50.35,35.19,35
231,45,Ellicombe,15.95,60.68,65
232,13,Lenthall,56.4,43.65,71
233,56,Gavozzi,25.89,12.08,83
234,89,Arias,93.21,33.03,85
235,51,Venner,25.86,94.2,24
236,73,Tiffany,22.87,1.64,22
237,50,Winchester,94.67,62.44,51
238,37,Wemm,26.73,2.21,43
239,93,Svanetti,78.94,93.51,44
240,35,Slayton,42.96,72.05,30
241,18,Zanetello,95.43,77.64,77
242,59,Ungerer,83.65,9.99,49
243,93,Dameisele,76.38,73.42,27
244,80,Treweela,8.53,2.69,60
245,99,Tolland,51.09,99.88,29
246,25,Readshall,64.46,45.42,63
247,59,Tudgay,33.55,37.33,47
248,43,Petrasek,65.89,48.26,43
249,59,Burnip,1.51,17.43,6
250,22,Briscam,34.18,95.37,29
251,43,Bertolaccini,50.06,63.41,85
252,26,Woosnam,90.65,76.54,51
253,60,Sherwell,1.88,56.2,50
254,62,Reyes,80.86,68.76,52
255,35,Surgey,97.41,7.94,19
256,29,Gerrets,12.84,94.9,64
257,39,Yurchenko,94.27,40.39,45
258,63,Webberley,91.88,90.35,38
259,19,Unthank,23.44,87.69,1
260,49,Darlow,69.53,65.89,77
261,41,Hartmann,80.17,20.71,51
262,86,Cecely,36.62,4.04,54
263,45,Gorrissen,93.07,20.06,38
264,100,Schnitter,78.59,39.49,63
265,63,Pellissier,99.25,18.7,46
266,82,Dongall,33.52,81.4,99
267,62,Featherstone,58.86,61.05,5
268,81,Del Castello,95.14,47.89,47
269,62,Curds,49.26,32.9,92
270,76,Braghini,28.19,11.63,94
271,86,Ankers,51.61,70.29,68
272,28,MacEveley,16.88,69.51,17
273,88,Chatwood,90.95,46.45,74
274,31,Charrisson,91.23,69.75,30
275,77,Fisher,59.97,38.65,56
276,50,Gartenfeld,66.16,10.35,100
277,90,Agerskow,91.19,35.57,33
278,45,Shires,44.59,69.59,31
279,31,O' Shea,87.45,86.52,19
280,69,Westman,18.94,5.22,31
281,27,Cowherd,16.62,82.03,55
282,59,Lighten,91.06,63.03,1
283,7,Sherington,37.2,71.18,74
284,90,Carnduff,85.34,4.52,35
285,7,Prime,57.63,20.25,69
286,98,Peterffy,90.56,14.76,43
287,75,Fredi,46.71,65.35,19
288,85,Deppen,24.51,67.66,45
289,74,Frowing,13.63,78.98,6
290,57,Ormshaw,29.05,29.63,29
291,26,McFaell,18.12,58.65,91
292,6,Ilden,15.99,12.98,33
293,16,Just,17.52,8.53,16
294,66,Fryers,65.09,87.09,54
295,7,Deignan,35.11,33.77,64
296,67,Eskriet,75.48,93.7,23
297,90,Middlemiss,62.68,42.44,47
298,12,Dronsfield,33.35,96.3,43
299,97,Derisley,69.75,81.48,71
300,16,Surgey,16.06,47.13,19
301,7,Yoskowitz,51.0,28.71,51
302,71,Sheldrake,27.18,59.91,46
303,93,Krzysztofiak,70.05,96.1,3
304,77,Baxstar,37.9,29.92,39
305,77,Lambis,34.81,99.59,4
306,58,Slimme,40.43,24.69,20
307,36,Dwight,36.1,43.92,92
308,39,Sleightholme,53.15,44.51,48
309,68,Feavyour,50.22,23.99,5
310,93,Lace,63.4,59.78,33
311,67,Denyakin,70.75,39.38,7
312,36,Soppitt,56.89,71.79,100
313,8,Tiuit,38.37,2.08,9
314,48,Conley,67.98,47.21,33
315,94,Maleby,93.92,6.52,39
316,82,Albasini,71.76,95.18,9
317,21,Ascrofte,24.43,65.8,49
318,49,Johnson,97.65,85.05,55
319,29,Hubball,81.98,89.15,68
320,68,Lotwich,6.93,14.86,44
321,96,Frantsev,53.86,99.24,1
322,23,Marrable,68.01,82.74,82
323,94,Citrine,72.03,10.06,20
324,1,Cobbled,89.76,31.91,21
325,85,Siddell,23.2,35.75,91
326,84,Schober,26.87,41.73,57
327,33,Clymer,96.58,71.79,47
328,81,Sillito,89.32,44.52,35
329,38,Barkworth,96.93,12.76,39
330,52,Ruskin,11.04,71.25,94
331,32,Arsey,85.46,92.82,88
332,56,Hardaker,44.66,73.6,16
333,97,Sculley,79.51,73.85,46
334,41,Beszant,35.52,31.37,74
335,62,Claxson,82.76,39.8,19
336,79,Rickford,74.59,26.7,14
337,39,Tock,84.91,78.52,8
338,41,Calafate,51.85,85.66,92
339,54,Pryn,4.49,60.97,88
340,15,Bruckental,59.03,61.26,80
341,49,Van Der Walt,16.76,34.68,98
342,49,Mindenhall,86.52,95.87,81
343,69,Dancey,86.24,47.32,19
344,82,Dyka,97.64,55.4,52
345,35,Balk,69.41,44.04,93
346,80,Vasile,54.53,54.01,76
347,33,Beardsdale,70.93,29.06,7
348,23,Fonzone,94.12,24.99,36
349,91,Wadworth,17.44,37.28,73
350,5,Ironside,44.09,38.2,99
351,58,Downe,78.24,58.41,27
352,60,Hulkes,87.69,54.69,30
353,21,Trelease,20.11,82.48,61
354,37,Gorges,13.88,62.36,9
355,82,Mulcaster,58.98,52.82,77
356,71,Walne,65.24,2.98,56
357,67,Dykas,41.42,5.45,20
358,68,MacClure,10.85,33.7,45
359,41,Caunce,46.75,36.38,62
360,65,Maseyk,33.01,11.01,25
361,56,McCardle,59.24,79.88,79
362,70,Medway,30.39,44.52,62
363,80,Grestye,6.63,54.92,27
364,29,Maxwaile,96.5,7.06,51
365,91,Borgesio,81.34,89.31,79
366,26,Gavagan,54.2,38.01,71
367,11,Chamberlayne,88.21,72.29,64
368,58,Kelner,7.02,12.41,13
369,33,Lambard,87.83,15.21,23
370,93,Tampling,91.28,58.59,15
371,48,Blatherwick,94.99,18.78,56
372,89,Tovey,97.79,13.3,96
373,20,McAllen,50.21,34.52,82
374,60,Presslee,49.9,14.88,89
375,100,Lambillion,8.63,70.24,31
376,10,Polglase,92.53,79.43,30
377,48,Lochhead,28.55,61.37,63
378,69,Pleaden,67.71,34.49,41
379,6,Stockwell,56.5,37.21,56
380,46,Beere,9.61,69.36,69
381,79,McGlaud,36.77,92.15,15
382,62,Pimley,31.47,94.52,64
383,9,Christie,1.73,15.68,70
384,25,Ballantine,94.59,99.01,88
385,21,Trusdale,7.36,17.52,79
386,24,Nealey,48.12,48.07,49
387,54,Crace,67.46,24.37,15
388,62,Carlan,22.56,96.91,10
389,44,O'Mohun,52.26,31.55,48
390,62,Geggie,7.61,7.19,87
391,62,Grime,27.35,9.73,83
392,5,Bollon,40.62,90.02,11
393,69,Latham,60.6,60.59,52
394,21,Kruger,82.71,21.81,61
395,10,Finlay,17.05,38.78,17
396,19,Screaton,75.36,54.72,28
397,47,Filipchikov,80.33,78.05,47
398,9,Clutterham,35.33,93.39,13
399,65,Ledgister,30.17,29.52,98
400,83,Anthes,11.33,1.0,3
401,88,Crudgington,15.21,91.34,23
402,46,Ferry,18.3,73.04,3
403,93,Devaney,29.77,14.8,49
404,63,Coade,50.68,38.43,76
405,49,Paulmann,30.46,36.57,93
406,31,Westnedge,45.9,69.99,85
407,90,Presshaugh,9.32,84.76,28
408,38,Caslake,37.66,3.74,76
409,44,MacCleod,40.9,39.6,67
410,64,Seedull,40.9,44.05,52
411,1,Balogh,93.74,89.14,3
412,10,Agdahl,84.96,68.65,9
413,58,Edscer,49.84,5.64,44
414,78,Kunkel,12.89,92.82,29
415,80,Sives,73.52,29.83,32
416,14,Bednall,44.59,75.53,47
417,4,Gabrieli,85.63,75.13,98
418,95,Yurinov,53.57,42.39,85
419,9,Whyler,38.38,81.26,37
420,57,O'Henery,51.91,69.64,98
421,81,Coffin,64.46,5.17,86
422,100,Insley,18.16,67.71,87
423,85,Richardson,3.23,55.75,97
424,43,Wallentin,62.35,55.39,38
425,77,Ceely,6.16,32.11,16
426,88,Zamorano,17.48,40.84,10
427,41,Thoday,26.89,4.5,83
428,90,Bignold,98.03,78.29,61
429,18,Ridley,8.51,20.78,86
430,87,Worg,36.24,28.08,46
431,25,Matthiesen,23.32,64.16,63
432,65,Heaysman,96.32,49.27,75
433,19,Sodor,23.04,32.56,82
434,79,Mallall,16.55,60.39,7
435,81,Brick,95.91,29.27,58
436,21,Farryann,3.56,6.25,51
437,84,Duckit,37.4,69.72,63
438,3,Bloxsom,33.29,50.26,77
439,26,Burchill,41.76,6.81,78
440,6,Lawtie,83.42,12.36,50
441,49,Heinl,32.17,22.46,66
442,30,Keyse,36.88,38.55,5
443,55,Fontel,38.95,20.03,21
444,42,Novik,35.31,47.55,61
445,83,Vannet,10.49,81.52,63
446,53,Lammenga,19.62,80.91,17
447,54,Fendlow,28.62,2.15,7
448,94,Oldacre,32.0,96.02,61
449,87,Tyt,39.32,51.72,71
450,60,Barwell,63.44,45.0,62
451,13,Kenion,2.86,36.32,6
452,23,Pentelo,8.22,8.44,76
453,9,Richarz,61.79,65.21,51
454,25,Kauffman,49.51,16.56,51
455,71,Pollitt,11.56,14.1,20
456,48,McCoveney,45.11,69.95,63
457,88,Betancourt,48.52,35.59,94
458,47,Wenger,84.84,36.29,45
459,84,Satford,53.37,26.78,86
460,86,Barsam,22.27,84.11,90
461,10,Harberer,21.38,25.99,22
462,39,Gulk,75.96,82.75,92
463,86,Blasik,34.82,19.29,64
464,29,Hayller,85.62,93.26,83
465,54,Janaud,51.63,60.79,53
466,99,Scotcher,48.12,40.43,73
467,27,Seefus,99.33,69.21,49
468,23,Hardi,86.58,52.2,66
469,20,Gorcke,7.01,97.83,5
470,78,Crigin,37.58,98.68,31
471,11,Hamner,74.51,87.1,51
472,3,Beaulieu,81.89,70.74,26
473,48,Mathwen,26.92,37.24,85
474,53,Ector,89.14,41.88,95
475,47,Archer,25.1,99.16,41
476,75,Groucutt,1.15,92.55,15
477,1,Gorden,40.69,75.94,1
478,74,Savil,10.45,52.62,75
479,86,Gallager,23.56,19.34,2
480,69,Knivett,6.03,71.19,67
481,5,Burd,94.76,56.08,34
482,57,Ivanishchev,80.26,56.92,71
483,49,Waggett,40.04,25.42,48
484,18,Bayston,85.94,78.98,70
485,27,Brumble,52.13,75.34,66
486,26,Hugnet,78.28,85.66,4
487,61,Welham,49.57,74.25,47
488,2,Stitch,39.42,76.61,30
489,56,Hamblington,15.42,77.39,69
490,94,Ellingford,94.76,8.05,93
491,71,Naul,23.49,65.45,83
492,48,Connar,80.77,54.95,12
493,24,Cribbin,70.02,10.55,89
494,64,Siret,98.45,98.06,95
495,28,Kidds,78.24,27.97,38
496,93,Jefford,68.12,5.8,87
497,28,Targe,22.15,66.54,13
498,45,Brooksbank,75.47,61.52,49
499,100,Treat,82.07,28.42,52
500,15,Bunt,14.02,33.56,14
501,57,Doodney,45.58,19.39,12
502,11,Rosengarten,12.34,8.6,67
503,7,Rushman,19.87,37.73,71
504,54,Lally,13.87,96.33,40
505,52,Bouchard,14.49,76.51,87
506,3,Renehan,29.69,48.73,50
507,46,Fauning,15.98,16.88,77
508,91,Olden,61.46,38.91,91
509,50,Brahm,4.57,72.91,99
510,55,Stoving,17.88,54.97,51
511,48,Withull,74.21,21.4,77
512,31,Forryan,65.59,21.3,60
513,85,Borrett,79.52,90.39,5
514,13,Gorrissen,35.78,29.99,74
515,70,Flobert,13.05,14.98,58
516,24,Vickerman,88.65,29.81,79
517,58,Elion,45.13,48.11,56
518,11,Van Dijk,44.8,45.52,13
519,34,Jeckells,83.05,38.24,20
520,75,Sheehan,78.95,1.1,56
521,5,Hiseman,70.1,77.01,95
522,30,Lowfill,16.68,67.67,27
523,15,Ratazzi,6.12,12.76,63
524,49,Aylett,22.71,62.16,77
525,53,Abbe,67.8,36.89,29
526,59,Laugherane,11.01,78.93,90
527,29,Hendrich,81.02,17.64,65
528,72,Martino,65.68,29.27,58
529,79,Marval,88.07,8.24,79
530,75,Badrock,1.31,73.16,76
531,73,Milburn,60.69,98.73,43
532,74,Spendlove,85.57,99.66,23
533,81,Lorking,28.14,16.14,57
534,21,Baulcombe,3.09,7.58,76
535,24,Hooban,69.82,78.76,47
536,69,McGannon,3.45,23.57,19
537,12,Taudevin,10.9,33.16,44
538,56,Dunstall,51.1,61.75,20
539,93,Theurer,11.02,34.27,83
540,56,Dossett,15.61,98.17,7
541,20,Launchbury,45.3,28.62,33
542,1,Warre,40.54,75.78,74
543,98,Peasnone,72.03,16.23,60
544,94,Sisland,82.12,31.75,17
545,1,Langan,39.33,69.93,48
546,19,Gamlin,96.48,70.25,43
547,42,Towns,36.5,87.25,46
548,40,Berdale,62.24,24.35,34
549,99,Gerhardt,5.17,95.21,79
550,83,McGooch,27.03,73.23,11
551,94,Denman,92.49,15.93,51
552,43,Osmond,85.83,53.16,18
553,16,La Rosa,56.05,35.73,16
554,22,Sergison,59.8,41.58,30
555,36,Godsal,23.49,25.68,51
556,22,Ishak,29.16,9.58,52
557,90,Wheildon,46.96,40.01,100
558,76,Roulston,35.19,76.3,29
559,1,Walesby,87.88,30.23,50
560,78,Murcutt,42.09,3.61,42
561,52,Clare,1.79,72.2,40
562,40,Tumioto,86.56,18.19,30
563,62,Comberbach,60.65,76.95,93
564,93,Diamond,26.81,76.43,98
565,17,Memmory,8.04,24.26,82
566,82,Withrop,96.07,88.39,25
567,64,Broady,38.06,83.59,51
568,91,Arlett,45.26,61.17,57
569,95,Broadberry,89.61,5.53,87
570,41,Blackman,11.82,83.69,81
571,5,Dorow,49.97,51.31,5
572,29,Billington,48.99,23.07,33
573,96,Grouse,82.06,26.0,35
574,45,Highnam,94.45,85.17,5
575,43,Tire,69.25,34.38,40
576,73,Benedidick,6.15,99.38,57
577,14,Christene,16.96,15.01,7
578,27,MacGee,65.88,17.31,28
579,82,Adne,16.32,24.88,37
580,51,Mussared,2.82,97.74,65
581,16,O'Scanlan,50.71,67.24,68
582,13,Rafe,96.62,51.91,90
583,12,Sally,57.6,81.38,36
584,83,Mountford,55.56,80.86,83
585,24,Eburah,90.53,17.17,12
586,91,Lunge,14.39,4.39,20
587,89,Villaret,4.03,24.55,90
588,18,Ruckman,43.68,50.53,84
589,83,Thatcher,70.79,72.94,48
590,36,Darling,25.41,87.65,55
591,59,Pittwood,49.45,69.15,97
592,4,Frenzl,32.91,80.99,73
593,9,Wedmore.,39.06,78.43,90
594,82,Cobello,48.17,76.03,49
595,40,Heggison,65.75,82.16,65
596,10,Pim,92.94,73.78,41
597,30,Jupp,10.05,79.5,48
598,17,Galego,23.85,27.06,21
599,81,Choat,90.86,95.21,54
600,49,Stanyan,31.69,22.74,27
601,59,Bootton,74.53,51.26,90
602,73,Slym,82.21,74.69,97
603,5,Southon,65.34,49.66,95
604,50,Wavell,71.12,21.89,55
605,10,Poor,60.44,5.25,89
606,6,Litton,1.5,25.38,85
607,91,Portis,97.33,48.0,74
608,41,Benneton,91.2,93.09,93
609,45,Hargrave,25.3,52.46,82
610,30,Pearmain,32.98,83.16,87
611,52,Kilfedder,70.32,10.53,84
612,67,McRobbie,88.09,87.09,43
613,45,Wickardt,4.27,52.74,40
614,19,Hayler,6.45,5.22,76
615,31,Bamlett,49.59,68.96,55
616,56,Penwarden,20.69,65.45,98
617,97,Henaughan,56.15,74.21,79
618,64,Belfelt,22.11,87.17,65
619,32,Nangle,6.07,16.89,4
620,2,Noel,91.59,4.44,55
621,37,Lidgley,8.95,50.57,16
622,9,Aiton,73.55,92.16,77
623,40,Syddie,17.95,82.73,11
624,63,Woolfall,33.36,12.26,26
625,32,Blaine,2.83,23.56,99
626,10,Thoms,78.36,70.06,31
627,25,Goacher,29.73,87.74,3
628,8,Batterham,22.31,31.74,8
629,96,Cayzer,36.36,72.72,1
630,20,Fransinelli,8.66,22.6,5
631,54,Cruden,95.66,62.21,9
632,71,Hamblin,53.05,12.36,10
633,1,Kornes,92.33,79.03,5
634,68,Quinlan,64.64,34.47,3
635,61,Gowdy,7.37,7.61,48
636,85,Lafford,15.17,26.51,85
637,31,Docwra,15.28,51.27,90
638,33,Coniff,69.36,96.37,30
639,7,Mish,39.27,56.99,1
640,12,Cockayme,20.09,45.68,38
641,99,Simanenko,86.89,27.82,36
642,24,Sapseed,39.56,78.16,91
643,76,Vann,57.22,43.99,77
644,2,Breache,27.2,81.86,31
645,79,Blum,89.25,36.8,81
646,85,Kippie,35.9,19.7,16
647,23,Melhuish,68.67,8.64,39
648,19,Issakov,65.15,47.25,1
649,81,Berrygun,67.7,23.39,45
650,12,Thrower,4.07,65.8,45
651,33,McCarl,88.27,51.94,11
652,22,Devericks,71.73,16.9,93
653,15,Phippen,63.91,38.3,59
654,76,Coda,8.08,70.8,52
655,41,Tatlow,85.76,95.02,51
656,11,Fust,26.51,64.33,12
657,96,Inchcomb,83.7,64.75,31
658,20,Marcombe,28.39,39.42,37
659,2,Ilyunin,17.79,83.3,85
660,52,Sebert,85.72,66.81,5
661,87,Haylor,94.87,7.18,21
662,17,Greep,20.15,47.03,51
663,38,Acland,14.9,88.71,87
664,85,Hesbrook,10.39,50.03,84
665,45,Brendeke,21.34,78.15,30
666,45,Stevings,40.94,9.53,69
667,18,Padbury,85.06,48.95,94
668,67,Romao,19.92,74.96,76
669,52,Hulle,69.95,96.57,82
670,19,Dignon,14.23,66.29,1
671,80,Jacob,89.68,80.95,83
672,61,Jordeson,13.25,94.05,84
673,60,Cloutt,68.57,5.13,12
674,73,Billing,9.2,96.56,80
675,52,Dincke,43.93,82.68,35
676,80,Lavelle,7.02,79.66,28
677,74,Sorton,74.63,87.88,52
678,19,Lotte,5.7,97.36,85
679,94,Ekkel,12.63,20.12,62
680,59,Rockwell,45.63,57.76,90
681,87,McGoon,87.42,20.85,11
682,69,Ainscough,93.0,56.58,63
683,42,Buzza,57.2,6.92,60
684,54,Pendrey,62.36,94.33,86
685,3,Muskett,19.73,98.21,8
686,38,Lombardo,64.01,87.18,90
687,12,Kienl,80.43,40.43,82
688,28,Shilleto,3.16,17.64,70
689,91,Snel,26.32,26.24,86
690,17,Widdowes,79.83,40.04,41
691,69,L'argent,71.37,76.37,13
692,99,Stennet,90.86,84.02,64
693,46,Grise,9.3,1.65,86
694,28,Emer,73.27,60.55,8
695,27,Fromont,89.79,4.21,8
696,79,Winton,49.88,30.17,66
697,5,Loren,88.41,22.98,39
698,43,Rickets,65.68,20.3,46
699,66,Byneth,29.9,21.53,98
700,56,Beckworth,31.6,22.31,10
701,80,Folomin,8.7,15.21,92
702,13,Tussaine,94.7,93.45,78
703,59,Tull,74.48,51.62,79
704,6,Presswell,15.08,23.54,48
705,2,Razzell,26.84,39.34,9
706,54,Adamkiewicz,37.59,75.55,96
707,30,Tinwell,52.37,86.86,92
708,87,Espadater,92.99,3.29,3
709,24,Hickisson,58.07,42.27,90
710,90,Flippen,66.44,9.8,80
711,5,Oliphant,68.79,12.19,100
712,90,Traut,24.13,70.14,72
713,40,Bresnahan,24.7,18.33,11
714,31,Cobon,17.79,13.43,30
715,90,Mulryan,37.12,35.56,31
716,84,Hawksworth,36.21,43.23,67
717,81,Yantsurev,98.33,94.19,7
718,62,Okroy,4.17,30.1,6
719,28,Tommasetti,5.16,88.98,76
720,92,Tongue,88.33,62.79,33
