ReceiptId,TransactionId,ReceiptCode,Rewards,Company,C02Impact
33,358,"",1338.43,Babbleset,8623.09
66,963,"",3753.62,Skyble,233.1
12,544,"",4501.36,Yoveo,2386.31
53,515,"",9727.84,Centimia,6466.89
81,816,"",3132.62,Voonder,3942.1
91,746,"",6109.22,Twimbo,6763.12
13,807,"",4084.93,Yombu,3511.76
46,678,"",7985.2,Zoombeat,3577.09
27,403,"",9121.32,Bubbletube,5450.3
93,701,"",5663.41,Devshare,1576.22
20,516,"",1489.52,Vipe,1361.01
91,390,"",5732.14,Viva,5713.94
4,862,"",3834.26,Skippad,4206.51
33,591,"",1311.23,Gevee,7355.39
98,20,"",4812.12,Shufflebeat,3961.97
5,559,"",6300.9,Skilith,4573.72
4,233,"",276.62,Meezzy,2583.14
45,643,"",1589.28,Tagfeed,7157.39
50,818,"",3881.11,Voonte,8403.95
57,867,"",970.02,Kwinu,1026.72
22,212,"",3507.58,Devshare,6384.27
94,925,"",6934.82,Skinix,9799.43
5,768,"",7178.8,Topicblab,2896.61
32,318,"",7338.14,Kazio,5598.41
93,992,"",8053.52,Rhyloo,8154.07
99,449,"",870.9,Edgeblab,3772.49
54,611,"",2814.36,Demimbu,9455.59
82,852,"",1449.9,Agimba,5102.25
46,633,"",4375.99,Plambee,4894.94
28,268,"",8487.06,Wikizz,8743.99
92,517,"",1264.86,Jatri,5675.19
33,673,"",1348.46,Midel,772.95
68,515,"",623.51,Gabvine,6038.09
99,697,"",7761.58,Gabtype,566.37
28,739,"",8683.17,Riffpath,3700.65
83,685,"",3966.21,Devshare,5691.78
78,303,"",9457.31,Jaxbean,3832.88
69,679,"",9740.52,Demivee,9960.4
12,124,"",225.87,Edgeblab,2524.72
67,551,"",5450.78,Agivu,3731.64
91,220,"",8730.09,Zooxo,5716.33
79,435,"",3339.79,Skyble,9496.88
6,326,"",6741.62,Rooxo,2601.61
69,904,"",1857.72,Rhyloo,6830.11
73,589,"",6128.0,Rhyzio,1138.09
17,45,"",9860.19,Leenti,146.74
33,766,"",3306.49,Dabtype,6260.11
80,820,"",7491.15,Quinu,2689.88
64,120,"",7905.17,Skibox,692.52
20,32,"",8931.17,Reallinks,3210.03
21,978,"",1853.28,Brightdog,6457.68
76,962,"",1323.81,Wordtune,1825.76
5,158,"",3381.74,BlogXS,4495.02
77,118,"",7297.4,Digitube,2938.59
37,227,"",839.47,Twinder,2348.58
53,468,"",6680.21,Vitz,4964.76
74,115,"",8805.61,Myworks,3820.6
12,947,"",9191.72,Tanoodle,4735.58
43,597,"",2744.06,Blogtag,7135.53
8,643,"",9188.73,Jabberstorm,6846.08
83,396,"",7635.07,Yadel,7545.64
44,886,"",3924.21,Rhyloo,9587.43
23,393,"",4546.17,Kaymbo,4449.37
3,196,"",8840.62,Meembee,404.41
31,471,"",8200.85,Yodel,7641.43
27,108,"",963.36,Vinder,9086.41
73,204,"",7849.17,Trunyx,6549.65
54,298,"",6493.23,Mybuzz,8427.93
46,116,"",9215.14,Jabbersphere,2877.77
88,928,"",9918.11,Meedoo,8010.0
83,84,"",8421.54,Babblestorm,2509.18
59,903,"",8441.12,Oyope,9883.07
10,943,"",8082.92,Talane,4028.07
75,791,"",1714.58,Skajo,3190.58
12,857,"",7045.47,Yata,6156.22
52,828,"",136.01,Voomm,7881.45
59,764,"",7817.44,Jetpulse,2513.76
4,457,"",1131.83,Realcube,9630.0
57,716,"",7247.95,Yodo,164.83
23,464,"",6037.97,Mybuzz,9035.99
15,4,"",9868.95,Divape,2787.28
65,452,"",1977.76,Shuffletag,1359.25
14,74,"",4970.12,Jaxnation,1742.21
66,468,"",5645.67,Realfire,5502.24
76,283,"",8001.24,Realbridge,7157.77
31,709,"",5261.47,Edgeclub,8881.58
53,720,"",6164.35,Geba,5446.43
5,597,"",6222.11,Cogilith,3052.04
28,714,"",7056.13,Topicblab,8370.7
17,553,"",484.74,Aivee,5750.78
29,274,"",5524.6,Oyoloo,2594.85
80,229,"",8157.63,Livetube,4910.97
33,955,"",732.1,Quatz,6277.15
93,647,"",871.35,Zooxo,8880.23
80,598,"",7154.9,Skidoo,3693.74
11,415,"",4216.63,Skivee,711.81
24,571,"",5337.75,Geba,301.82
26,315,"",8354.08,Dabshots,379.59
99,852,"",7020.01,Shuffledrive,9311.55
97,475,"",7887.31,Zoomzone,4509.73
55,891,"",464.58,Izio,9017.07
13,133,"",4535.74,Eare,1615.86
73,298,"",4892.25,Skyba,4782.48
81,532,"",5975.06,Leenti,7450.16
25,769,"",5964.16,Nlounge,2460.9
78,822,"",1891.85,Edgeblab,619.18
76,498,"",3252.89,Yotz,1729.64
25,142,"",5220.25,Meembee,8871.07
22,818,"",3096.61,Browsetype,821.28
50,594,"",4252.7,Skipfire,535.12
95,400,"",6413.9,Latz,5120.65
56,336,"",6653.91,Zava,4238.47
77,204,"",9428.98,Trudoo,279.25
89,271,"",7407.66,Dablist,1011.15
65,74,"",1528.19,Topdrive,3509.21
34,206,"",825.45,Meevee,2017.77
82,846,"",9983.43,Thoughtsphere,8435.8
11,376,"",2970.5,Yakitri,4411.15
25,644,"",8200.98,Skyba,831.97
3,805,"",686.12,Thoughtblab,148.15
13,600,"",5628.94,Kwilith,8305.58
97,379,"",5244.42,Dabjam,3795.0
94,363,"",596.2,Twiyo,3533.9
14,473,"",9433.49,Skajo,3030.57
82,165,"",5971.22,Pixope,9706.65
37,260,"",7263.54,Riffpedia,3868.29
80,245,"",6966.57,Gigabox,202.34
89,455,"",3564.63,Thoughtbridge,5609.99
37,811,"",225.64,Flashset,5836.27
60,881,"",8989.13,Oba,4776.26
19,25,"",4832.61,Quamba,3090.82
22,730,"",1334.37,Shuffletag,8596.81
35,152,"",3638.42,Mydo,8797.51
97,482,"",914.44,Skinder,5791.48
18,669,"",7967.78,Vinder,5459.6
84,667,"",5760.3,Tambee,8141.56
91,243,"",558.7,Ozu,3093.85
73,42,"",5418.2,Oloo,7848.76
34,613,"",2988.22,Plajo,1930.89
22,47,"",8765.27,Flipstorm,965.51
29,507,"",341.72,Youfeed,9321.83
98,40,"",3338.21,Divanoodle,7137.38
79,860,"",823.14,Gigabox,9080.18
89,473,"",7167.36,Feednation,4149.97
33,596,"",3838.45,Skinte,154.68
76,538,"",4829.04,Tagtune,3736.14
30,150,"",9677.83,Twimbo,3730.75
86,405,"",7628.22,Centidel,9507.76
53,50,"",7055.08,Dynabox,1506.14
7,247,"",5128.25,DabZ,7810.43
32,446,"",7396.24,Twiyo,9025.7
96,527,"",8543.01,Yacero,7822.1
18,301,"",5706.89,InnoZ,8362.66
33,38,"",8624.44,Yabox,2758.56
2,695,"",1137.57,Oloo,5919.62
45,231,"",9114.5,Skippad,1860.88
43,402,"",3234.73,Blognation,1611.51
39,587,"",4400.06,Katz,8697.09
74,807,"",4173.24,Youopia,6405.94
95,23,"",2466.25,Camido,2236.97
43,375,"",7643.59,Browsetype,3809.59
82,719,"",1025.64,Zoomlounge,5854.71
41,494,"",8210.16,Skibox,6853.68
60,888,"",8910.45,Vipe,8027.56
86,865,"",8170.43,Talane,8655.75
76,337,"",1677.69,Kayveo,2756.94
22,826,"",8894.42,Skyble,796.93
23,21,"",9198.57,Skibox,1733.49
6,289,"",1280.27,Feedbug,9278.82
71,141,"",2256.14,Aibox,6208.92
58,15,"",5556.47,Roombo,188.98
84,875,"",1140.8,Thoughtworks,9607.35
70,464,"",9485.49,Gigabox,7945.91
95,240,"",5010.62,Zoovu,3059.11
37,371,"",1488.62,Twitterwire,9991.92
29,811,"",8955.69,Eazzy,9603.26
28,863,"",8104.3,Trunyx,505.01
73,130,"",6546.15,Browsetype,8049.86
63,599,"",7923.15,Flashpoint,7344.06
9,380,"",6725.99,Zoombeat,7551.15
66,527,"",9034.35,Flipstorm,2471.85
44,626,"",6335.79,Yombu,1500.69
99,610,"",8948.6,DabZ,6449.31
97,322,"",9502.13,Thoughtworks,9403.45
87,807,"",994.15,Yoveo,2664.99
61,159,"",29.75,Kazio,6661.42
100,634,"",220.57,Yodel,7470.34
35,127,"",9725.09,Gevee,2089.16
39,340,"",1354.13,Buzzdog,7115.97
82,252,"",8078.2,Feedfish,5715.67
21,556,"",981.39,Meetz,8646.08
32,891,"",6415.26,Yabox,1078.66
36,974,"",7843.11,Youspan,3682.73
18,487,"",80.79,Brainverse,9730.31
46,94,"",9601.56,Dabfeed,8660.64
76,264,"",4756.56,Gabtune,6142.39
30,152,"",2008.08,Meembee,8806.04
46,711,"",4493.94,Viva,4999.9
34,464,"",3314.45,Centidel,6936.56
42,931,"",2919.86,Twimm,7476.63
90,417,"",8314.01,Linkbridge,6955.6
38,766,"",8128.11,Trudeo,8052.97
55,51,"",6299.2,Yabox,2883.42
39,716,"",717.25,Realpoint,6669.74
13,30,"",5980.36,Twitterbridge,7664.06
76,6,"",965.92,Feedbug,6287.43
4,679,"",9368.63,Leexo,972.07
42,538,"",9232.69,Demimbu,9098.74
5,834,"",4039.64,Thoughtbridge,92.5
86,127,"",2595.09,Yambee,7710.57
59,594,"",6652.91,Youspan,1562.16
68,668,"",6374.76,Midel,8485.12
18,291,"",3196.84,Quatz,9760.69
21,757,"",4076.77,Devshare,3195.93
42,953,"",5272.06,Thoughtmix,1616.63
42,533,"",5009.07,Livetube,533.4
94,680,"",7367.0,Zoombox,4424.45
9,764,"",4821.38,Realmix,1089.8
30,567,"",1691.27,Oyoba,3307.95
76,63,"",953.59,Demivee,7904.53
93,447,"",138.03,Jabberstorm,4891.07
81,766,"",1008.35,Flashpoint,9028.81
12,906,"",7902.11,Skalith,3671.07
17,751,"",3100.76,Kare,798.18
68,159,"",1715.38,Yata,4085.47
22,682,"",3408.0,Dablist,6783.17
91,781,"",262.9,Youtags,3950.31
12,40,"",2381.43,Agivu,9761.32
89,682,"",8157.73,Topicstorm,2399.93
65,577,"",8932.97,Oyonder,7651.29
71,710,"",2743.28,Thoughtblab,1256.33
61,925,"",4677.84,Skyvu,5403.61
32,129,"",7158.92,Skyble,6007.79
41,457,"",4935.35,Devcast,2311.44
62,330,"",5670.38,Divape,4173.8
78,289,"",5692.13,Rhynoodle,9859.98
55,266,"",1815.07,Brightdog,8134.89
20,859,"",7143.71,Kwinu,1573.76
99,675,"",66.13,Flipopia,6756.5
64,440,"",1339.84,Mydeo,4853.41
79,781,"",146.9,Topiczoom,6865.36
84,356,"",6658.24,Oyondu,9237.46
23,207,"",1375.13,Youopia,5888.23
20,388,"",8829.72,Brainlounge,2568.12
58,143,"",4909.79,Blogtags,5803.05
74,919,"",1656.4,Photojam,6225.56
4,235,"",9321.96,Tagtune,9356.47
43,40,"",7638.45,Rooxo,4129.37
1,45,"",3595.41,Twitternation,5088.76
47,397,"",6936.14,Twimbo,9655.59
58,239,"",7822.63,Yakijo,1318.51
5,312,"",1396.5,Thoughtmix,1837.54
54,342,"",2370.48,DabZ,3972.62
21,383,"",674.72,Katz,2763.91
85,950,"",883.13,Myworks,4251.83
75,925,"",7989.85,Jaxnation,7004.13
29,360,"",4322.14,Chatterbridge,3875.69
94,437,"",2184.94,Tazz,1236.66
12,549,"",439.34,Twimm,7147.27
92,876,"",6057.08,Eare,4573.54
16,91,"",3541.0,Gigazoom,9559.65
55,231,"",2726.01,Cogidoo,6729.29
85,274,"",3891.09,Mydeo,1650.11
94,252,"",4362.16,Fivechat,603.72
19,741,"",6315.62,Brainbox,8679.72
91,726,"",2748.05,Zooveo,7406.53
70,162,"",3352.37,Avaveo,2155.4
15,578,"",4537.98,Kimia,5794.68
33,36,"",6939.17,Meejo,6625.23
64,328,"",6004.92,Plajo,7238.01
43,185,"",2154.48,Aibox,1098.39
58,352,"",9643.35,Realbridge,5382.63
98,306,"",1933.94,Agivu,9297.59
78,208,"",4414.26,Yodo,7951.09
67,424,"",7183.16,Livetube,7911.19
84,36,"",9845.28,Quimba,5388.62
84,51,"",6459.13,Skipstorm,8823.49
14,94,"",7413.37,Tazzy,5869.13
100,935,"",1481.37,Vinder,7036.35
9,989,"",9043.54,Rhynyx,5943.58
31,721,"",7715.03,Dabtype,3026.69
94,33,"",8802.09,Abata,3062.63
88,393,"",5695.66,Thoughtworks,1428.08
34,953,"",8923.08,Zoovu,1651.38
90,777,"",2014.57,Miboo,4005.96
52,165,"",5250.18,Realcube,2811.13
90,404,"",2408.36,Riffpath,7438.28
8,139,"",302.93,Yoveo,4407.38
13,659,"",6814.39,Zoomcast,376.36
87,986,"",2843.46,Plajo,5837.03
96,644,"",9877.72,Innojam,6079.13
54,858,"",2618.76,Avavee,8881.53
45,877,"",6130.37,Skaboo,9976.17
38,471,"",3605.05,Brainlounge,4716.77
22,770,"",6952.98,Kaymbo,1359.57
35,746,"",311.42,Kazio,9375.55
61,597,"",8125.08,Flipbug,7611.95
19,121,"",8639.46,Zoombox,2999.45
20,474,"",5989.27,Photobean,6349.48
14,607,"",5162.66,Skipstorm,1955.9
96,284,"",1419.01,Shufflester,8844.72
30,375,"",1728.49,Oyope,6695.11
68,329,"",5447.9,Izio,8846.32
40,43,"",2022.55,Feednation,351.19
92,946,"",9700.06,Skalith,6123.98
70,507,"",6034.85,Photolist,9517.94
60,195,"",4419.46,Fadeo,2454.43
12,476,"",127.38,Mynte,9039.97
86,359,"",6763.81,Skipfire,6258.01
50,553,"",3559.42,Browsetype,2171.88
11,961,"",8347.74,Leexo,707.07
33,418,"",1464.13,Kazu,2608.62
18,157,"",7999.33,Flipstorm,327.8
37,727,"",602.41,Babbleblab,3921.0
5,472,"",2984.35,Feedbug,848.74
38,434,"",8284.86,Realcube,9359.65
87,276,"",3452.45,Kayveo,141.76
74,425,"",8744.34,Oyoloo,5867.57
52,425,"",4628.96,Kamba,5179.72
36,622,"",8519.56,Fatz,2966.9
89,856,"",7398.89,Yotz,152.76
19,822,"",5154.45,Yakitri,4108.93
97,742,"",126.93,Zoombeat,7234.04
31,136,"",5437.34,Jayo,3408.14
61,817,"",5450.68,Mymm,2988.41
29,789,"",5223.15,Yabox,5698.62
66,624,"",925.11,Eadel,3431.51
98,841,"",4017.43,Muxo,8879.68
15,641,"",1413.13,Demivee,3740.2
84,785,"",8274.77,Ooba,5337.52
22,490,"",1112.0,Kazio,5238.61
31,301,"",1970.65,Vipe,9187.41
47,135,"",3526.16,Tagpad,9104.33
93,461,"",9823.02,Yodo,7035.79
59,285,"",3636.64,Meevee,936.63
69,235,"",2589.47,Kwideo,3382.6
22,9,"",3968.47,Buzzdog,5910.58
17,359,"",9321.85,LiveZ,9650.73
11,307,"",7136.78,Shuffledrive,9550.09
27,559,"",59.91,Kare,4003.38
43,198,"",5858.21,Yakijo,6906.56
12,342,"",1492.11,Twimbo,9295.04
95,185,"",2410.78,Npath,5187.61
13,946,"",3455.35,Quinu,2608.3
42,299,"",8531.91,Zoombox,4120.16
91,495,"",7354.17,Blognation,9168.55
73,812,"",5653.99,Ainyx,5274.6
54,625,"",2089.36,Youspan,6303.3
21,864,"",7311.07,Riffpath,2152.56
19,238,"",8888.72,Oyoyo,9294.69
89,638,"",4931.49,Trupe,1999.38
37,586,"",9670.55,Rooxo,7174.14
32,771,"",7635.17,Divavu,3839.35
7,203,"",2924.95,Topicblab,9286.72
29,851,"",1536.31,Tazz,1888.85
31,272,"",4422.58,Vipe,23.52
37,706,"",2186.52,Aibox,6970.03
91,869,"",5477.79,Skyvu,4589.51
45,983,"",5290.28,Yata,5955.17
4,437,"",367.62,Photospace,4774.96
7,953,"",9117.07,Photobean,9165.63
38,323,"",4312.24,Vinder,1564.45
31,473,"",8653.58,Zoomlounge,386.83
47,807,"",9355.74,Tazzy,7974.1
19,254,"",2190.47,Babbleblab,2190.79
55,732,"",1915.19,Quatz,1384.31
58,961,"",1547.64,Demizz,4627.41
16,901,"",542.71,Dynabox,7663.97
90,798,"",6411.85,Meevee,3314.25
6,837,"",8210.42,Kaymbo,5741.21
7,977,"",3272.48,Digitube,189.0
82,993,"",230.3,Fatz,5899.23
97,731,"",9787.13,Dynava,369.2
63,622,"",9985.67,Devshare,2054.28
58,713,"",4911.95,Oba,634.05
80,349,"",6714.29,Thoughtblab,6678.91
81,565,"",2296.1,Trudeo,6128.34
58,573,"",1443.42,Twitterbridge,2028.03
92,281,"",1097.46,Skidoo,7486.26
14,141,"",7075.19,Cogilith,3446.87
16,394,"",8013.71,Abata,9100.13
48,747,"",5263.85,Yozio,4415.15
98,944,"",1504.06,Photobug,4498.14
60,698,"",6083.32,Bluezoom,7362.42
38,365,"",3093.77,Riffpedia,6291.37
12,630,"",2221.97,Jaxnation,5736.1
80,319,"",8437.6,Flipbug,1920.65
18,720,"",9959.78,Blogtags,2544.69
27,220,"",5107.58,Zoonoodle,6563.49
67,124,"",3889.89,Dablist,8957.38
34,338,"",7066.63,Linkbridge,8328.1
73,584,"",4347.72,Realcube,9985.74
20,763,"",4747.25,Shuffletag,8649.03
58,720,"",5908.46,Skidoo,2514.47
26,523,"",3926.69,Jazzy,6967.94
68,68,"",3427.23,InnoZ,9803.47
15,281,"",7064.9,Gabvine,6874.0
9,76,"",1942.3,Babblestorm,9782.55
34,365,"",7957.94,Tekfly,1314.36
83,767,"",8465.01,Avavee,8006.73
23,77,"",2426.09,Plajo,4023.58
5,717,"",6101.95,Kimia,6295.38
84,80,"",4371.19,Reallinks,6059.51
81,952,"",7278.1,Twitterbeat,8600.33
9,895,"",7174.62,Voomm,8950.39
98,961,"",1094.63,Blogspan,3466.74
16,613,"",4055.99,Realfire,5480.29
19,660,"",3740.36,Gabcube,6481.3
32,907,"",1003.39,Fivespan,7956.33
88,766,"",3627.57,Zooxo,4.18
33,704,"",7317.12,Reallinks,1667.05
74,358,"",9486.64,Realmix,5531.55
75,994,"",1458.6,Buzzdog,2863.1
83,728,"",6095.5,Oyondu,7413.74
62,206,"",5724.41,Dynava,2781.65
39,524,"",7533.61,Twimbo,8065.01
44,634,"",6931.84,Zava,9516.89
32,569,"",9767.03,Gabtype,3118.25
86,134,"",3633.52,Edgeblab,4724.85
35,602,"",1530.55,Brightdog,9378.84
15,290,"",5274.5,Dabtype,9367.74
22,8,"",9919.58,Flipbug,4653.38
8,270,"",737.56,Pixope,4956.25
30,713,"",9262.15,Browsedrive,7968.38
69,148,"",4672.68,Buzzdog,1014.02
33,404,"",5653.93,Jamia,4407.64
28,83,"",9331.39,Topiczoom,799.99
82,593,"",4149.2,Dynava,1298.54
40,846,"",8902.47,Yodel,782.61
10,954,"",9675.99,Digitube,1143.08
10,229,"",1761.27,Topicstorm,4035.27
36,879,"",7953.99,Oba,3276.24
74,623,"",4023.9,Realbridge,9430.47
84,734,"",727.56,Wordware,6224.52
67,534,"",2362.68,Tagchat,6689.09
83,926,"",2669.65,Devshare,653.59
61,346,"",4117.94,JumpXS,4863.28
35,261,"",659.88,Jabbertype,7559.47
82,30,"",8803.24,Latz,4708.66
55,535,"",4570.99,Oloo,681.15
22,441,"",3060.63,Realpoint,7441.32
15,429,"",5801.45,Quaxo,8414.56
4,848,"",9826.19,Photobug,5171.04
56,91,"",5246.45,Mynte,5836.69
55,16,"",2761.09,Ntag,5979.14
33,933,"",9641.96,Jayo,7764.76
20,376,"",9950.71,Linkbridge,8260.86
83,794,"",7075.06,Eadel,4705.14
5,113,"",3118.58,Realfire,8081.05
64,251,"",7505.61,Edgeify,3439.84
81,922,"",9240.47,Lazzy,252.95
32,946,"",9617.13,Linklinks,2323.13
49,536,"",7870.39,Livetube,8700.26
30,930,"",7557.59,Devify,6066.82
67,922,"",1763.86,Roombo,8078.46
14,317,"",8009.5,Zoombox,6726.32
62,493,"",6037.95,Realblab,5101.27
66,9,"",8273.53,Janyx,9761.99
63,417,"",9208.65,Buzzshare,32.44
78,937,"",5798.75,Npath,7374.46
15,608,"",5779.38,Thoughtbeat,9360.11
61,322,"",5869.07,Jayo,6667.55
14,487,"",9256.53,Skidoo,1038.13
81,123,"",716.97,Demimbu,8778.05
66,904,"",5566.25,Demivee,8374.12
30,450,"",681.63,Chatterpoint,7532.19
55,24,"",591.08,Aivee,9070.49
80,483,"",187.25,Linklinks,8404.14
45,240,"",4969.9,Zoonoodle,9183.61
21,852,"",7015.98,Jetpulse,5774.62
86,906,"",1588.6,Twinte,1774.51
57,423,"",9501.72,Brightdog,2693.5
52,299,"",4796.59,Livefish,4038.52
13,202,"",4739.32,Wikivu,494.48
3,997,"",487.36,Thoughtbeat,7804.56
53,745,"",7815.06,Vipe,8278.82
44,965,"",6753.81,Kazu,6261.73
78,574,"",1173.91,DabZ,5414.93
63,351,"",6070.3,Quinu,5939.1
19,318,"",6969.68,Rhycero,2605.04
28,51,"",4821.32,Camimbo,4974.06
45,492,"",1090.71,Mudo,8196.15
27,986,"",1988.01,Tagopia,2129.49
58,527,"",4922.76,Innojam,4653.85
38,479,"",1060.89,Feedbug,1659.27
78,697,"",8573.71,Muxo,2290.25
97,634,"",1224.9,Photobean,5396.41
24,315,"",664.73,Edgewire,3736.79
76,132,"",1185.6,Jatri,9493.14
17,225,"",9147.34,Realfire,4981.31
58,758,"",8075.38,Reallinks,8908.76
71,367,"",2402.59,Topicshots,3712.28
31,616,"",1565.88,Buzzster,4289.73
11,887,"",2847.93,Shufflebeat,8199.91
42,476,"",2724.71,Youbridge,5678.53
74,188,"",6267.71,Gevee,1155.4
55,577,"",4457.5,Jabbersphere,8101.36
59,168,"",4092.68,Jazzy,1962.63
49,770,"",9601.81,Rhynoodle,717.08
26,225,"",9921.78,Jabberbean,3409.4
38,746,"",7656.35,Trilith,2559.05
6,861,"",4638.06,Edgepulse,9904.17
40,167,"",5318.54,Kare,6239.98
12,652,"",5771.81,Vipe,3198.65
10,786,"",8347.41,Meeveo,4239.69
48,448,"",531.69,Trupe,258.9
92,970,"",724.73,Voonder,6062.28
71,80,"",1854.71,Pixope,5021.78
46,456,"",8533.83,Topdrive,7071.2
76,186,"",2311.9,Rhynyx,9643.35
86,741,"",443.98,Oyonder,8332.56
93,166,"",351.59,Cogidoo,9784.9
64,610,"",3564.19,Voolith,9756.94
10,541,"",5152.22,Zoombeat,8176.48
100,238,"",9190.24,Mita,6574.49
16,236,"",406.75,Flashpoint,3109.76
17,191,"",8853.01,Realblab,8387.2
26,357,"",3144.12,Devcast,436.67
4,760,"",1328.93,Midel,2977.09
71,857,"",9504.86,Realbridge,9836.33
17,106,"",9222.39,Dabjam,472.19
29,996,"",1893.41,Mita,9386.35
46,298,"",6059.69,Fivebridge,4056.92
98,449,"",6870.89,Tazz,6771.41
77,600,"",9540.19,Roodel,2877.44
41,622,"",3749.87,Kwinu,3109.68
22,678,"",324.29,Skyndu,59.89
18,990,"",2664.49,Oyope,4448.36
89,548,"",3628.32,Aivee,1347.44
14,733,"",4131.79,Jaxworks,7904.95
15,553,"",1240.57,Topicshots,1675.25
61,167,"",6652.0,Yodoo,2170.77
41,206,"",2310.01,Riffpedia,1581.32
52,345,"",4226.1,Zoomzone,5865.86
28,680,"",5537.13,Divape,8234.0
38,619,"",6701.47,Kayveo,1587.99
61,666,"",1115.42,Vinte,5867.41
31,577,"",7899.25,Npath,1045.19
69,696,"",6434.3,Kanoodle,1966.97
85,630,"",1946.96,Miboo,5137.39
34,774,"",5817.62,Zazio,2830.39
4,720,"",8818.57,Demimbu,8776.84
41,530,"",895.77,Babbleopia,4572.17
89,168,"",5325.99,Oyoyo,9669.42
83,192,"",2978.53,Yodel,1612.62
49,705,"",8858.72,Rhynoodle,4141.08
41,308,"",6717.2,Shufflester,9548.41
28,839,"",9661.25,Vinte,6822.64
93,54,"",3854.83,Skyba,2058.0
11,375,"",7337.99,Mycat,7692.0
27,285,"",4680.71,Thoughtstorm,5028.11
7,362,"",5138.51,Voonte,8895.11
63,906,"",52.22,Meembee,1916.86
